scenario_name,pathway,energy_multiplier,environment_multiplier,cost_multiplier,carbon_load_multiplier,adjustment_source,adjustment_reference,adjustment_rationale
baseline_region_case,ad,1.00,1.00,1.00,1.00,baseline_anchor,optimization_input_dataset_assumptions.json,Reference-case adjustment kept neutral to preserve the baseline scenario as the calibration anchor.
baseline_region_case,baseline,1.00,1.00,1.00,1.00,baseline_anchor,optimization_input_dataset_assumptions.json,Baseline treatment row remains unperturbed so scenario contrasts are interpreted relative to the observed regional mix.
baseline_region_case,htc,1.00,1.00,1.00,1.00,baseline_anchor,optimization_input_dataset_assumptions.json,Reference-case adjustment kept neutral to avoid embedding undocumented technology preference into the baseline portfolio.
baseline_region_case,pyrolysis,1.02,1.00,0.99,1.00,scenario_calibration_v1,docs/roadmap/2026-04-02-waste2energy-jocp-integrated-roadmap.md,Small positive energy calibration retained for baseline pyrolysis to reflect manuscript scenario differentiation while preserving traceability.
high_supply_case,ad,1.03,1.05,0.98,0.97,scenario_calibration_v1,docs/roadmap/2026-04-02-waste2energy-jocp-integrated-roadmap.md,High-supply case modestly improves AD scale economics while preserving higher residual carbon accounting than policy-supported conditions.
high_supply_case,baseline,1.00,1.00,1.00,1.00,baseline_anchor,optimization_input_dataset_assumptions.json,Baseline treatment row remains unperturbed so supply-side sensitivity acts on candidate technologies rather than the reference waste-treatment mix.
high_supply_case,htc,1.10,1.08,0.92,0.95,scenario_calibration_v1,docs/roadmap/2026-04-02-waste2energy-jocp-integrated-roadmap.md,High-supply case improves HTC energy and cost performance to create an auditable alternative to pyrolysis under relaxed feed availability.
high_supply_case,pyrolysis,0.95,0.97,1.07,1.05,scenario_calibration_v1,docs/roadmap/2026-04-02-waste2energy-jocp-integrated-roadmap.md,High-supply case softens pyrolysis competitiveness to avoid hard-coded dominance and to expose constraint sensitivity in scenario runs.
policy_support_case,ad,1.08,1.18,0.84,0.90,scenario_calibration_v1,docs/roadmap/2026-04-02-waste2energy-jocp-integrated-roadmap.md,Policy-support case emphasizes AD environmental and cost gains to reflect supportive incentive assumptions in a reviewer-traceable table.
policy_support_case,baseline,1.00,1.00,1.00,1.00,baseline_anchor,optimization_input_dataset_assumptions.json,Baseline treatment row remains unperturbed so policy support applies to candidate pathways and not to the external counterfactual.
policy_support_case,htc,1.06,1.12,0.88,0.92,scenario_calibration_v1,docs/roadmap/2026-04-02-waste2energy-jocp-integrated-roadmap.md,Policy support moderately favors HTC through cost and carbon-load multipliers while keeping the calibration explicit and reviewable.
policy_support_case,pyrolysis,1.00,1.02,0.98,0.99,scenario_calibration_v1,docs/roadmap/2026-04-02-waste2energy-jocp-integrated-roadmap.md,Policy support provides only a mild pyrolysis uplift so scenario divergence remains attributable to traceable policy assumptions rather than hidden constants.
