Item,Value,Rank,analysis_year
Primary energy source,,Natural gas,2024
Net summer capacity (megawatts),96773,2,2024
Electric utilities,29004,2,2024
IPP & CHP,67770,2,2024
Net generation (megawatthours),214191383,4,2024
Electric utilities,75921531,11,2024
IPP & CHP,138269852,4,2024
,,,2024
Emissions,Emissions,Emissions,2024
Sulfur dioxide (short tons),748,44,2024
Nitrogen oxide (short tons),62519,3,2024
Carbon dioxide (thousand metric tons),39594,15,2024
Sulfur dioxide (lbs/MWh),0.0,50,2024
Nitrogen oxide (lbs/MWh),0.6,24,2024
Carbon dioxide (lbs/MWh),407,45,2024
Total retail sales (megawatthours),245717145,3,2024
Full service provider sales,156099185,3,2024
Energy-only provider sales,89617960,2,2024
Direct use (megawatthours),13039332,3,2024
Average retail price (cents/kWh),27.04,2,2024
"Data source: U.S. Energy Information Administration, Form EIA-860, Annual Electric Generator Report, U.S. Energy Information Administration, Form EIA-861, Annual Electric Power Industry Report, U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report and predecessor forms.","Data source: U.S. Energy Information Administration, Form EIA-860, Annual Electric Generator Report, U.S. Energy Information Administration, Form EIA-861, Annual Electric Power Industry Report, U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report and predecessor forms.","Data source: U.S. Energy Information Administration, Form EIA-860, Annual Electric Generator Report, U.S. Energy Information Administration, Form EIA-861, Annual Electric Power Industry Report, U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report and predecessor forms.",2024
